"","splitweek1","splitweek2","end1","end2","BS_CET","EN_CET","BA_CET","CP_CET","QR_CET","BS_PTS","EN_PTS","BA_PTS","CP_PTS","QR_PTS"
"1",26,26,26,26,0,0.00123482197983124,0.87548878370035,0.966659806544557,0.899362008643754,0,0.00246964395966248,0,0.958016052685738,0.906976744186046
"2",52,26,26,26,0,0.00123482197983124,0.87548878370035,0.879604856966454,0.923235233587158,0,0.00226384029635728,0,0.893393702407903,0.94546202922412
"3",26,52,26,26,0,0.00164642930644165,0.941757563284626,0.970570076147355,0.857995472319407,0,0.00205803663305207,0,0.956575427042601,0.884132537559169
"4",52,52,26,26,0,0.00144062564313645,0.940934348631406,0.931673183782671,0.881251286272896,0,0.00144062564313645,0,0.932290594772587,0.925910681210126
"5",26,26,52,26,0,0.00164642930644165,0.876106194690266,0.956987034369212,0.90080263428689,0,0.00226384029635728,0,0.959045071002264,0.917884338341223
"6",52,26,52,26,0,0.00144062564313645,0.875282980037045,0.873842354393908,0.923235233587158,0,0.00226384029635728,0,0.930849969129451,0.945667832887425
"7",26,52,52,26,0,0.00164642930644165,0.942992385264458,0.974891953076765,0.86046511627907,0,0.00226384029635728,0,0.972216505453797,0.896274953694176
"8",52,52,52,26,0,0.00144062564313645,0.944638814570899,0.928174521506483,0.881251286272896,0,0.00205803663305207,0,0.962543733278452,0.927145503189957
"9",26,26,Inf,26,0,0.00144062564313645,0.875282980037045,0.998353570693558,0.818892776291418,0,0.00246964395966248,0,0.992179460794402,0.890306647458325
"10",52,26,Inf,26,0,0.00123482197983124,0.87590039102696,0.993208479110928,0.889483432805104,0,0.00246964395966248,0,0.982095081292447,0.929615147149619
"11",26,52,Inf,26,0,0.00123482197983124,0.943609796254373,0.998970981683474,0.824449475200659,0,0.00185223296974686,0,0.99526651574398,0.876311998353571
"12",52,52,Inf,26,0,0.00144062564313645,0.943815599917678,0.99526651574398,0.858201275982712,0,0.00164642930644165,0,0.987651780201688,0.908211566165878
"13",26,26,26,52,0,0.00370446593949372,0.809014200452768,0.908417369829183,0.917884338341223,0,0.00493928791932496,0,0.897303972010702,0.90039102696028
"14",52,26,26,52,0,0.00329285861288331,0.811278040749125,0.822597242230912,0.938670508335048,0,0.00452768059271455,0,0.841736982918296,0.948343280510393
"15",26,52,26,52,0,0.00370446593949372,0.887837003498662,0.936612471701996,0.879604856966454,0,0.0030870549495781,0,0.925499073883515,0.877958427660012
"16",52,52,26,52,0,0.00329285861288331,0.883309322905948,0.933113809425808,0.897921383000617,0,0.00329285861288331,0,0.88063387528298,0.925087466556905
"17",26,26,52,52,0,0.00411607326610414,0.810454826095904,0.918090142004528,0.917678534677917,0,0.00493928791932496,0,0.928586128833093,0.915208890718255
"18",52,26,52,52,0,0.00349866227618852,0.810249022432599,0.908417369829183,0.938670508335048,0,0.00473348425601976,0,0.914385676065034,0.948549084173698
"19",26,52,52,52,0,0.00329285861288331,0.887219592508747,0.908417369829183,0.878370034986623,0,0.0028812512862729,0,0.914385676065034,0.892364684091377
"20",52,52,52,52,0,0.00370446593949372,0.884338341222474,0.867874048158057,0.897921383000617,0,0.0030870549495781,0,0.940522741304795,0.925910681210126
"21",26,26,Inf,52,0,0.0030870549495781,0.81066062975921,0.990327227824655,0.840913768265075,0,0.00473348425601976,0,0.982506688619057,0.88577896686561
"22",52,26,Inf,52,0,0.00391026960279893,0.81066062975921,0.97983124099609,0.90080263428689,0,0.005968306235851,0,0.963572751594978,0.93043836180284
"23",26,52,Inf,52,0,0.00370446593949372,0.88104548260959,0.996707141387117,0.834945462029224,0,0.0028812512862729,0,0.986828565548467,0.861699938258901
"24",52,52,Inf,52,0,0.00370446593949372,0.884955752212389,0.987240172875077,0.870549495781025,0,0.00267544762296769,0,0.980037044659395,0.906976744186046
"25",26,26,26,Inf,0,0.00843795019551348,0.675859230294299,0.809014200452768,0.947931673183783,0,0.0139946491047541,0,0.807161967483021,0.918501749331138
"26",52,26,26,Inf,0,0.00843795019551348,0.675036015641078,0.785140975509364,0.962132125951842,0,0.0131714344515332,0,0.739040954928998,0.962955340605063
"27",26,52,26,Inf,0,0.00411607326610414,0.818275365301502,0.785140975509364,0.918090142004528,0,0.00740893187898745,0,0.739040954928998,0.886396377855526
"28",52,52,26,Inf,0,0.00411607326610414,0.818069561638197,0.891747273101461,0.933319613089113,0,0.005968306235851,0,0.852644577073472,0.935377649722165
"29",26,26,52,Inf,0,0.00782053920559786,0.674212800987858,0.843383412224738,0.945256225560815,0,0.0123482197983124,0,0.870961103107635,0.93517184605886
"30",52,26,52,Inf,0,0.00699732455237703,0.677711463264046,0.688207450092612,0.962132125951842,0,0.0125540234616176,0,0.814570899362009,0.963161144268368
"31",26,52,52,Inf,0,0.00432187692940934,0.816834739658366,0.688207450092612,0.916237909034781,0,0.00637991356246141,0,0.814570899362009,0.901214241613501
"32",52,52,52,Inf,0,0.00493928791932496,0.816423132331755,0.888042807161967,0.933319613089113,0,0.00720312821568224,0,0.901420045276806,0.935995060712081
"33",26,26,Inf,Inf,0,0.00679152088907183,0.673801193661247,0.888042807161967,0.871372710434246,0,0.00843795019551348,0,0.901420045276806,0.899773615970364
"34",52,26,Inf,Inf,0,0.00679152088907183,0.675653426630994,0.933525416752418,0.926733895863346,0,0.0100843795019551,0,0.930849969129451,0.947931673183783
"35",26,52,Inf,Inf,0,0.00555669890924058,0.821156616587775,0.989504013171434,0.867668244494752,0,0.00740893187898745,0,0.980037044659395,0.871166906770941
"36",52,52,Inf,Inf,0,0.00473348425601976,0.815599917678535,0.968100432187693,0.887425396172052,0,0.005968306235851,0,0.957192838032517,0.918090142004528
